consumer_id,pop_up,saved_discount
60013773516,1,1
59813803514,1,0
59787863517,1,1
59773453517,1,0
59730883514,1,0
59720363514,1,1
59700183513,1,0
59662023513,1,1
59642533516,1,1
59523113517,1,0
59482393513,1,0
59472493516,1,1
59468393514,1,1
59433713515,1,0
59424663516,1,0
59421143510,1,1
59398933511,1,1
59385683515,1,1
59359563517,1,0
59344473513,1,0
5932658359,1,1
59312243511,1,1
59310713515,1,0
59304183514,1,0
5918416359,1,0
59138793510,1,0
59130223511,1,0
59122163513,1,0
59090873516,1,0
5908622359,1,0
59039623511,1,0
5903238359,1,1
5901852353,1,0
58999823517,1,1
5896714356,1,0
58960113514,1,0
58943833511,1,0
5893430353,1,0
5891948355,1,0
58889623516,1,0
5887187352,1,0
5880461355,1,0
5879205358,1,0
58737153512,1,1
5873371356,1,0
5867837353,1,0
5866304353,1,0
58652393516,1,0
58651473517,1,1
58636003513,1,0
58568793517,1,1
5854738358,1,0
58544003512,1,0
5854066353,1,0
58453613517,1,0
5845354355,1,0
58446783513,1,0
5844036356,1,0
58209793511,1,0
58036683513,1,0
5797585358,1,1
57947063510,1,0
5794003359,1,1
57926413510,1,0
57902273516,1,0
57897573511,1,0
57888283516,1,1
57836013511,1,1
5781638358,1,0
57719813510,1,1
57707863517,1,1
5767274352,1,1
57643583515,1,0
5762514359,1,1
57392333513,1,1
5739141352,1,1
57388853513,1,0
57340853517,1,1
57334913510,1,1
5731008358,1,0
5727117352,1,0
57187333515,1,0
57186963516,1,0
57161733515,1,0
5714988352,1,1
5712977353,1,0
5712939357,1,1
5709359359,1,0
5709199355,1,1
57075773511,1,0
5706211359,1,1
57058253515,1,0
57049033513,1,0
5703821354,1,0
5702619359,1,0
5702350353,1,0
5701155357,1,0
5700851356,1,0
5699995359,1,0
5699353351,1,0
5697717352,1,0
5696956359,1,0
5695720359,1,0
5691807359,1,0
5691616359,1,0
56910673515,1,0
56910503511,1,0
56903503513,1,0
5688982353,1,0
56852573517,1,0
5684915357,1,1
5682812356,1,0
5680962359,1,0
56806963517,1,1
5680382359,1,0
5675340357,1,0
5675333355,1,0
5675111358,1,0
56742753517,1,1
56733773511,1,0
5672981359,1,0
5669844351,1,1
5666386352,1,0
56635453517,1,0
5661015359,1,0
5660803352,1,0
5655267352,1,1
56552363512,1,0
5654093354,1,1
5652280355,1,1
5651801358,1,0
5650576351,1,0
5649914358,1,1
5649396357,1,0
5642069353,1,0
56362803512,1,1
56358253514,1,0
5634934356,1,0
56346823513,1,0
5632497352,1,0
5632312359,1,0
5631230354,1,1
5630486357,1,1
56300043514,1,0
56270283515,1,0
56266943513,1,0
5625444359,1,0
5623433357,1,0
56191603513,1,1
5616992353,1,0
56150253514,1,0
5610044352,1,0
56076863513,1,0
5606511355,1,0
5605026352,1,0
56019503513,1,1
5601523354,1,0
5600182351,1,1
55999743515,1,0
55986253516,1,0
55952803515,1,0
55947403513,1,0
5592173352,1,0
5592012352,1,0
5590544352,1,0
5588916353,1,0
5586622358,1,0
55864553512,1,0
55856633517,1,0
5585021352,1,0
5582969352,1,0
5579600359,1,0
55771943515,1,1
5575282353,1,0
5572441351,1,0
55709803515,1,0
5569533351,1,0
55669143515,1,0
55668773510,1,0
5566860352,1,0
55642863515,1,1
5562312353,1,1
55623053516,1,0
5559930359,1,0
55598003513,1,0
5559794351,1,0
5556915359,1,0
5550555351,1,0
55496103513,1,0
55487363511,1,0
55482003510,1,0
5547968357,1,0
5547494355,1,0
5545773351,1,0
55456293511,1,0
55448683512,1,1
55440733511,1,0
5543434352,1,0
5541720353,1,0
55413313515,1,1
55410103511,1,0
5537747359,1,0
5537471353,1,0
5537419351,1,1
55370133516,1,0
5536078359,1,1
5535996357,1,0
5535859355,1,0
5535637352,1,0
5534562352,1,1
5534050354,1,0
5533978357,1,0
55322923513,1,0
5529674355,1,1
5529223357,1,0
5528868359,1,0
5528325352,1,0
5527885355,1,0
55275193510,1,1
5527274353,1,1
55245943510,1,0
5524181351,1,0
5523733358,1,0
55234503512,1,0
55224603511,1,0
5517879353,1,0
5517558358,1,0
5515608356,1,0
5515523355,1,0
5514632356,1,1
5514274355,1,0
5513505353,1,0
55132463512,1,0
5509881359,1,0
55092633516,1,1
5509034352,1,0
5508884353,1,0
55086623510,1,1
5508617351,1,0
55081743514,1,0
55074983513,1,0
5507481351,1,0
5506576352,1,0
5505906355,1,0
5505609351,1,1
5505456353,1,0
55052963517,1,1
5505203355,1,0
55047563514,1,0
5504596359,1,0
55039023512,1,1
55026393516,1,0
5502479352,1,1
55008883513,1,0
54952383512,1,1
54937223510,1,0
54933333517,1,1
5493036351,1,0
5492909359,1,0
5492886359,1,0
5492046352,1,0
5491032359,1,1
5490912354,1,0
5490813352,1,1
5490370353,1,0
5490028353,1,1
5489626353,1,1
5489411359,1,1
5488964352,1,0
54879983510,1,0
5487929351,1,0
54877073511,1,1
5487615353,1,1
54868543516,1,0
5484973359,1,1
5484904352,1,1
5484362356,1,0
5484287352,1,0
54838463516,1,1
54835493513,1,1
54811943513,1,1
5480753353,1,0
5480562354,1,1
5480470351,1,0
5479702351,1,0
5478101353,1,1
54780643512,1,0
5477906354,1,0
5475841354,1,0
5475827351,1,0
54756813516,1,1
54756123514,1,1
5475070353,1,0
54737483512,1,0
5473359351,1,0
54732433515,1,0
54731443516,1,0
5472970351,1,1
54716453517,1,1
54716383510,1,1
5471492355,1,1
54708463517,1,0
5468249353,1,0
54679763512,1,1
5467860359,1,0
5467693357,1,0
54646543513,1,0
54640503511,1,0
5463183355,1,0
54629193515,1,1
54625683511,1,0
54623533514,1,0
5461097352,1,0
54607863516,1,0
5458653358,1,0
54582953517,1,0
54581653510,1,0
5458042354,1,0
5457724359,1,0
5456482353,1,1
54553173510,1,0
54538873510,1,0
5452934354,1,0
54529273513,1,0
54521183516,1,1
54476643513,1,0
5447619353,1,0
54468963514,1,0
54458993517,1,0
5443642357,1,1
54421023515,1,0
54416863517,1,0
54382423510,1,1
5438112354,1,0
5437498359,1,1
54363783514,1,1
54362483514,1,1
54339403515,1,1
54330323517,1,1
5431960357,1,0
5430888355,1,0
5430314351,1,1
5425129353,1,1
54249003510,1,0
54224013516,1,0
5420308352,1,1
5418053352,1,0
5417964359,1,1
5417872352,1,1
5417506353,1,1
54165163516,1,0
5416417355,1,0
54117883510,1,0
54112073510,1,1
54107813511,1,1
5409716351,1,0
5404476353,1,0
54021373517,1,0
53978083515,1,0
5394968353,1,1
53936713513,1,0
5392056357,1,1
5389100351,1,0
5387670353,1,0
5384822354,1,0
5384167355,1,0
5382873358,1,1
5382064358,1,0
5379972355,1,0
5375639351,1,0
53755613512,1,0
53753323511,1,0
5371815352,1,0
53703683517,1,0
5369126355,1,0
5365548358,1,0
5364961352,1,1
5359141351,1,0
5354986353,1,0
5352357351,1,1
53516953514,1,0
53470563513,1,0
53456493516,1,0
53443383510,1,0
53442603517,1,0
53437063514,1,1
